390,Radiologi,MRCP dynamic nonkontras diikuti dengan kontras IV,Permintaan & Hasil,X099257,MRCP dynamic nonkontras diikuti dengan kontras IV,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
391,Kedokteran Nuklir,NM renogram/GFR,Permintaan & Hasil,24776-7,NM Kidney Views,Views^W radionuclide IV,Find,Pt,Abdomen>Kidney,Doc,NM,,http://loinc.org,,,
392,Kedokteran Nuklir,NM Salivary scan,Permintaan & Hasil,39747-1,NM Salivary gland Views,Views^W radionuclide IV,Find,Pt,Head>Salivary gland,Doc,NM,,http://loinc.org,,,
393,Radiologi,Penentuan volume whole blood dengan scintigrafi,Hasil,30899-9,Blood volume by Scintigraphy,Blood volume,Vol,Pt,^Patient,Qn,Radnuc,mL,http://loinc.org,,,
394,Radiologi,RF APG ( antegrade pyelography ) kontras,Permintaan & Hasil,86387-8,RF Kidney and Ureter and Urinary bladder Views W contrast antegrade,Views^W contrast antegrade,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,
395,Radiologi,RF artrografi,Permintaan & Hasil,37191-4,RF Joint Arthrogram,Views^W contrast IS,Find,Pt,XXX>Joint,Doc,RF,,http://loinc.org,,,
396,Radiologi,RF artrografi bahu,Permintaan & Hasil,24910-2,RF Shoulder Arthrogram,Views^W contrast IS,Find,Pt,Upper extremity>Shoulder,Doc,RF,,http://loinc.org,,,
397,Radiologi,RF artrografi coxae,Permintaan & Hasil,24764-3,RF Hip Arthrogram,Views^W contrast IS,Find,Pt,Lower extremity>Hip,Doc,RF,,http://loinc.org,,,
398,Radiologi,RF artrografi cubiti,Permintaan & Hasil,37186-4,RF Elbow Arthrogram,Views^W contrast IS,Find,Pt,Upper extremity>Elbow,Doc,RF,,http://loinc.org,,,
399,Radiologi,RF artrografi genu,Permintaan & Hasil,24800-5,RF Knee Arthrogram,Views^W contrast IS,Find,Pt,Lower extremity>Knee,Doc,RF,,http://loinc.org,,,
400,Radiologi,RF artrografi pergelangan kaki,Permintaan & Hasil,37183-1,RF Ankle Arthrogram,Views^W contrast IS,Find,Pt,Lower extremity>Ankle,Doc,RF,,http://loinc.org,,,
401,Radiologi,RF artrografi pergelangan tangan,Permintaan & Hasil,25034-0,RF Wrist Arthrogram,Views^W contrast IS,Find,Pt,Upper extremity>Wrist,Doc,RF,,http://loinc.org,,,
402,Radiologi,RF artrografi sakroiliaka,Permintaan & Hasil,37647-5,RF Sacroiliac Joint Arthrogram,Views^W contrast IS,Find,Pt,Pelvis>Sacroiliac joint,Doc,RF,,http://loinc.org,,,
403,Radiologi,RF artrografi sendi temporomandibula,Permintaan & Hasil,37901-6,RF Temporomandibular joint Arthrogram,Views^W contrast IS,Find,Pt,Head>Temporomandibular joint,Doc,RF,,http://loinc.org,,,
404,Radiologi,RF BNO - IVP W kontras,Permintaan & Hasil,86372-0,RF Kidney and Ureter and Urinary bladder Views W contrast IV,Views^W contrast IV,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,
405,Radiologi,RF Cholangiografi T. tube W kontras,Permintaan & Hasil,30647-2,RF Biliary ducts and Gallbladder Views W contrast via T-tube,Views^W contrast via T-tube,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,RF,,http://loinc.org,,,
406,Radiologi,RF Colon in loop,Permintaan & Hasil,24666-0,RF Colon Views W air and barium contrast PR,Views^W air contrast PR+W barium contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,
407,Radiologi,RF Colon in loop water soluble,Permintaan & Hasil,24666-0,RF Colon Views W air and barium contrast PR,Views^W air contrast PR+W barium contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,
408,Radiologi,RF Corpora cavernosografi,Permintaan & Hasil,37586-5,RF Penis Views W contrast intra corpus cavernosum,Views^W contrast intra corpus cavernosum,Find,Pt,Pelvis>Penis,Doc,RF,,http://loinc.org,,,
409,Radiologi,RF Cystogram W kontras intrabladder,Permintaan & Hasil,86401-7,RF Urinary bladder Views W contrast intra bladder,Views^W contrast intra bladder,Find,Pt,Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,
410,Radiologi,RF Cystourethrography,Permintaan & Hasil,25017-5,RF Urinary bladder and Urethra Views W contrast intra bladder,Views^W contrast intra bladder,Find,Pt,Pelvis>Urinary bladder+Urethra,Doc,RF,,http://loinc.org,,,
411,Radiologi,RF Dacryocystography bilateral,Permintaan & Hasil,38098-0,RF Lacrimal duct - bilateral Views W contrast intra lacrimal duct,Views^W contrast intra lacrimal duct,Find,Pt,Head>Lacrimal duct.bilateral,Doc,RF,,http://loinc.org,,,
412,Radiologi,RF Dacryocystography kanan,Permintaan & Hasil,38827-2,RF Lacrimal duct - right Views W contrast intra lacrimal duct,Views^W contrast intra lacrimal duct,Find,Pt,Head>Lacrimal duct.right,Doc,RF,,http://loinc.org,,,
413,Radiologi,RF Dacryocystography kiri,Permintaan & Hasil,38099-8,RF Lacrimal duct - left Views W contrast intra lacrimal duct,Views^W contrast intra lacrimal duct,Find,Pt,Head>Lacrimal duct.left,Doc,RF,,http://loinc.org,,,
414,Radiologi,RF Dakriosistografi,Permintaan & Hasil,30810-6,RF Lacrimal duct Views W contrast intra lacrimal duct,Views^W contrast intra lacrimal duct,Find,Pt,Head>Lacrimal duct,Doc,RF,,http://loinc.org,,,
415,Radiologi,RF diskografi cervikal,Permintaan & Hasil,37192-2,RF Cervical spine Views W contrast intradisc,Views^W contrast intradisc,Find,Pt,Neck>Spine.cervical,Doc,RF,,http://loinc.org,,,
416,Radiologi,RF diskografi lumbal,Permintaan & Hasil,37193-0,RF Lumbar spine Views W contrast intradisc,Views^W contrast intradisc,Find,Pt,Abdomen>Spine.lumbar,Doc,RF,,http://loinc.org,,,
417,Radiologi,RF Diskografi thorakal,Permintaan & Hasil,70933-7,RF Thoracic spine Views W contrast intradisc,Views^W contrast intradisc,Find,Pt,Chest>Spine.thoracic,Doc,RF,,http://loinc.org,,,
418,Radiologi,"RF Enema terapi, kontras atau udara, untuk reduksi intususepsi atau obstruksi intraluminal lain (seperti, ileus mekonium)",Permintaan & Hasil,30636-5,RF Colon Views for reduction W contrast PR,Views for reduction^W contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,
419,Radiologi,RF epididimografi,Permintaan & Hasil,X099258,RF epididimografi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
420,Radiologi,RF Epidurografi,Permintaan & Hasil,38104-6,RF Spine epidural space Views W contrast IT,Views^W contrast IT,Find,Pt,XXX>Spine epidural space,Doc,RF,,http://loinc.org,,,
421,Radiologi,RF ERCP (Endoscopic Retrograde Cholangiopancreatography) diagnostik dengan kontras,Permintaan & Hasil,30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Biliary ducts+pancreatic duct,Doc,RF,,http://loinc.org,,,
422,Radiologi,RF Esofagografi,Permintaan & Hasil,24678-5,RF Esophagus Views W contrast PO,Views^W contrast PO,Find,Pt,Chest>Esophagus,Doc,RF,,http://loinc.org,,,
423,Radiologi,RF esofagus (esofagogram),Permintaan & Hasil,30633-2,RF Esophagus Views W barium contrast PO,Views^W barium contrast PO,Find,Pt,Chest>Esophagus,Doc,RF,,http://loinc.org,,,
424,Radiologi,RF Evaluasi faring dan bicara dinamik kompleks dengan cine atau rekaman video,Permintaan & Hasil,86395-1,RF videography Hypopharynx and Esophagus Views for swallowing function W speech and W barium contrast PO,Views for swallowing function^W speech+W barium contrast PO,Find,Pt,Neck>Hypopharynx & Chest>Esophagus,Doc,RF.video,,http://loinc.org,,,
425,Radiologi,RF faring dan esofagus servikal,Permintaan & Hasil,86410-8,RF Pharynx and Cervical esophagus Views W barium contrast PO,Views^W barium contrast PO,Find,Pt,Neck>Pharynx+Esophagus.cervical,Doc,RF,,http://loinc.org,,,
426,Radiologi,RF fistulogram,Permintaan & Hasil,86437-1,RF Fistula Diagnostic W contrast intra fistula,Views diagnostic^W contrast intra fistula,Find,Pt,XXX>Fistula,Doc,RF,,http://loinc.org,,,
427,Radiologi,RF Fluoroscopy dengan durasi lebih dari 1 jam,Permintaan & Hasil,42702-1,RF Greater than 1 hour,View,Find,Gt 1H,XXX,Doc,RF,,http://loinc.org,,,
428,Radiologi,RF Fluoroskopi untuk lokalisasi jarum atau kateter vertebra untuk diagnostik atau terapetik,Permintaan & Hasil,39027-8,RF Guidance for needle localization of Unspecified body region,Guidance for needle localization,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,
429,Radiologi,"RF Fluoroskopi untuk mencari akses dan pemasangan kateter, penggantian kateter, atau pelepasan kateter;",Permintaan & Hasil,35912-5,RF Guidance for placement of catheter in Unspecified body region,Guidance for placement of catheter,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,
430,Radiologi,"RF Fluoroskopi untuk pemasangan jarum (contoh: biopsi, aspirasi, injeksi)",Permintaan & Hasil,86400-9,RF Guidance for placement of needle in Unspecified body region,Guidance for placement of needle,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,
431,Radiologi,RF Followtrough,Permintaan & Hasil,43574-3,RF Upper gastrointestinal tract and Small bowel Views W barium contrast PO,Views^W barium contrast PO,Find,Pt,Abdomen>Gastrointestinal tract.upper+Small bowel,Doc,RF,,http://loinc.org,,,
432,Radiologi,"RF Fungsi menelan, dengan cineradiografi/videoradiografi",Permintaan & Hasil,24681-9,RF videography Hypopharynx and Esophagus Views,Views^W contrast PO+during swallowing,Find,Pt,Neck>Hypopharynx & Chest>Esophagus,Doc,RF.video,,http://loinc.org,,,
433,Radiologi,RF genitografi,Permintaan & Hasil,X099259,RF genitografi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
434,Radiologi,"RF Guidance dilatasi nefrostomi, ureter, atau uretra; ",Permintaan & Hasil,88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra",Guidance for dilation,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urethra,Doc,RF,,http://loinc.org,,,
435,Radiologi,RF Guidance pelebaran esofagus ,Permintaan & Hasil,24680-1,RF Guidance for dilation of Esophagus,Guidance for dilation,Find,Pt,Chest>Esophagus,Doc,RF,,http://loinc.org,,,
436,Radiologi,"RF guidance pelebaran nefrostomi, ureter, atau uretra",Permintaan & Hasil,88834-7,"RF Guidance for dilation of nephrostomy tract, ureter, or urethra",Guidance for dilation,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urethra,Doc,RF,,http://loinc.org,,,
437,Radiologi,RF guidance pemasangan alat pacu jantung,Permintaan & Hasil,X099260,RF guidance pemasangan alat pacu jantung,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
438,Radiologi,RF guidance pemasangan kateter intra pelvis renalis secara perkutan untuk injeksi atau drainase;,Permintaan & Hasil,24779-1,RF Guidance for percutaneous placement of nephrostomy tube of Kidney - bilateral-- W contrast via tube,Guidance for percutaneous placement of nephrostomy tube^W contrast via tube,Find,Pt,Abdomen>Kidney.bilateral,Doc,RF,,http://loinc.org,,,
439,Radiologi,"RF guidance pengangkatan batu duktus biliaris pasca operasi, perkutaneus melalui saluran T-tube, basket, atau snare (seperti, teknik Burhenne), ",Permintaan & Hasil,24570-4,RF Guidance for removal of calculus from Biliary duct common-- W contrast retrograde intra biliary,Guidance for removal of calculus^W contrast retrograde intra biliary,Find,Pt,Abdomen>Biliary duct.common,Doc,RF,,http://loinc.org,,,
440,Radiologi,RF Guidance pengangkatan benda asing esofagus,Permintaan & Hasil,30628-2,RF Guidance for removal of foreign body of Unspecified body region,Guidance for substance removal of foreign body,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,
441,Radiologi,RF Histerosalfingografi (HSG),Permintaan & Hasil,25022-5,RF Uterus and Fallopian tubes Views W contrast IU,Views^W contrast IU,Find,Pt,Pelvis>Uterus+Fallopian tubes,Doc,RF,,http://loinc.org,,,
442,Radiologi,RF Intra-operatif cholangiografi,Permintaan & Hasil,24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct,Views^during surgery W contrast biliary duct,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,RF,,http://loinc.org,,,
443,Radiologi,RF Kateterisasi endoskopi sistem duktus biliaris,Permintaan & Hasil,44214-5,RF Guidance for endoscopy of Biliary ducts-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Biliary ducts,Doc,RF,,http://loinc.org,,,
444,Radiologi,RF Kateterisasi endoskopi sistem duktus pankreatikus,Permintaan & Hasil,44213-7,RF Guidance for endoscopy of Pancreatic duct-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Pancreatic duct,Doc,RF,,http://loinc.org,,,
445,Radiologi,RF Kateterisasi transcervical tuba fallopii,Permintaan & Hasil,86403-3,RF Guidance for placement of catheter in Fallopian tube,Guidance for placement of catheter,Find,Pt,Pelvis>Fallopian tube,Doc,RF,,http://loinc.org,,,
446,Radiologi,RF Kolangiografi dan pankreatografi intraoperatif,Permintaan & Hasil,24574-6,RF Biliary ducts and Gallbladder Views during surgery W contrast biliary duct,Views^during surgery W contrast biliary duct,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,RF,,http://loinc.org,,,
447,Radiologi,RF Kolangiografi dan/atau pankreatografi melalui kateter yang telah ada,Permintaan & Hasil,86376-1,RF Biliary ducts Views W contrast via existing catheter,Views^W contrast via existing catheter,Find,Pt,Abdomen>Biliary ducts,Doc,RF,,http://loinc.org,,,
448,Radiologi,RF Kolangiografi perkutaneus transhepatik,Permintaan & Hasil,24575-3,RF Biliary ducts and Gallbladder Views W contrast percutaneous transhepatic,Views^W contrast percutaneous transhepatic,Find,Pt,Abdomen>Biliary ducts+Gallbladder,Doc,RF,,http://loinc.org,,,
449,Radiologi,RF kolon dengan barium enema,Permintaan & Hasil,44227-7,RF Colon Views W barium contrast PR,Views^W barium contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,
450,Radiologi,"RF Kombinasi kateterisasi endoskopi sistem duktus bilier dan pankreatikus,",Permintaan & Hasil,30815-5,RF Guidance for endoscopy of Biliary ducts and Pancreatic duct-- W contrast retrograde,Guidance for endoscopy^W contrast retrograde,Find,Pt,Abdomen>Biliary ducts+pancreatic duct,Doc,RF,,http://loinc.org,,,
451,Radiologi,RF Laringografi kontras,Permintaan & Hasil,48465-9,RF Larynx Views,Views,Find,Pt,Head+Neck>Larynx,Doc,RF,,http://loinc.org,,,
452,Radiologi,RF Lopografi,Permintaan & Hasil,37567-5,RF Colon Views W contrast via colostomy,Views^W contrast via colostomy,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,
453,Radiologi,RF Lopografi distal,Permintaan & Hasil,86379-5,RF Small bowel Views for loop diversion,Views for loop diversion,Find,Pt,Abdomen>Small bowel,Doc,RF,,http://loinc.org,,,
454,Radiologi,RF Lopografi proksimal,Permintaan & Hasil,86379-5,RF Small bowel Views for loop diversion,Views for loop diversion,Find,Pt,Abdomen>Small bowel,Doc,RF,,http://loinc.org,,,
455,Radiologi,RF Maagduodenography,Permintaan & Hasil,42459-8,RF Gastrointestinal tract upper Views W contrast PO,Views^W contrast PO,Find,Pt,Abdomen>Gastrointestinal tract.upper,Doc,RF,,http://loinc.org,,,
456,Radiologi,RF MCU (Micturating Cysto Urethrography),Permintaan & Hasil,43559-4,RF Urinary bladder and Urethra Views W contrast intra bladder during voiding,Views^W contrast intra bladder+during voiding,Find,Pt,Pelvis>Urinary bladder+Urethra,Doc,RF,,http://loinc.org,,,
457,Radiologi,RF Mielografi cervical,Permintaan & Hasil,24947-4,RF Cervical spine Views W contrast IT,Views^W contrast IT,Find,Pt,Neck>Spine.cervical,Doc,RF,,http://loinc.org,,,
458,Radiologi,"RF Mielografi cervical, thoracal, lumbal",Permintaan & Hasil,30808-0,RF Cervical and thoracic and lumbar spine Views W contrast IT,Views^W contrast IT,Find,Pt,Neck>Spine.cervical & Chest>Spine.thoracic & Abdomen>Spine.lumbar,Doc,RF,,http://loinc.org,,,
459,Radiologi,RF mielografi fossa posterior dengan kontras IT,Permintaan & Hasil,30811-4,RF Posterior fossa Views W contrast IT,Views^W contrast IT,Find,Pt,Head>Posterior fossa,Doc,RF,,http://loinc.org,,,
460,Radiologi,RF Mielografi lumbal degan kontras,Permintaan & Hasil,24974-8,RF Lumbar spine Views W contrast IT,Views^W contrast IT,Find,Pt,Abdomen>Spine.lumbar,Doc,RF,,http://loinc.org,,,
461,Radiologi,RF Mielografi lumbosakral,Permintaan & Hasil,24974-8,RF Lumbar spine Views W contrast IT,Views^W contrast IT,Find,Pt,Abdomen>Spine.lumbar,Doc,RF,,http://loinc.org,,,
462,Radiologi,RF Mielografi servikal & lumbal,Permintaan & Hasil,38103-8,RF Spine Cervical and Spine Lumbar Views W contrast IT,Views^W contrast IT,Find,Pt,Neck>Spine.cervical & Abdomen>Spine.lumbar,Doc,RF,,http://loinc.org,,,
463,Radiologi,RF Mielografi torakal,Permintaan & Hasil,24985-4,RF Thoracic spine Views W contrast IT,Views^W contrast IT,Find,Pt,Chest>Spine.thoracic,Doc,RF,,http://loinc.org,,,
464,Radiologi,RF OMD kontras,Permintaan & Hasil,42459-8,RF Gastrointestinal tract upper Views W contrast PO,Views^W contrast PO,Find,Pt,Abdomen>Gastrointestinal tract.upper,Doc,RF,,http://loinc.org,,,
465,Radiologi,"RF Pemasangan tabung gastrointestinal panjang (seperti Miller-Abbott), termasuk fluoroskopi dan film multipel,",Permintaan & Hasil,86413-2,RF Guidance for placement of long feeding tube in Gastrointestinal tract,Guidance for placement of long feeding tube,Find,Pt,Abdomen+Pelvis>Gastrointestinal tract,Doc,RF,,http://loinc.org,,,
466,Radiologi,RF Rectografi,Permintaan & Hasil,86409-0,RF Rectum Views for rectal dysfunction W barium contrast PR,Views for rectal dysfunction^W barium contrast PR,Find,Pt,Pelvis>Rectum,Doc,RF,,http://loinc.org,,,
467,Radiologi,RF RPG (Retrograde Pyelography) dengan kontras retrograde,Permintaan & Hasil,86388-6,RF Kidney and Ureter and Urinary bladder Views W contrast retrograde,Views^W contrast retrograde,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,
468,Radiologi,RF Sialografi,Permintaan & Hasil,24902-9,RF Salivary gland Views W contrast intra salivary duct,Views^W contrast intra salivary duct,Find,Pt,Head>Salivary gland,Doc,RF,,http://loinc.org,,,
469,Radiologi,RF Sialografi bilateral,Permintaan & Hasil,26067-9,RF Salivary gland - bilateral Views W contrast intra salivary duct,Views^W contrast intra salivary duct,Find,Pt,Head>Salivary gland.bilateral,Doc,RF,,http://loinc.org,,,
470,Radiologi,RF sinus fistula atau abses dengan kontras intra sinus,Permintaan & Hasil,24912-8,RF Sinus tract Views W contrast intra sinus tract,Views^W contrast intra sinus tract,Find,Pt,XXX>Sinus tract,Doc,RF,,http://loinc.org,,,
471,Radiologi,RF Sisternografi kontras IT,Permintaan & Hasil,86398-5,RF Cerebral cisterns Views W contrast IT,Views^W contrast IT,Find,Pt,Head+Neck>Cerebral cisterns,Doc,RF,,http://loinc.org,,,
472,Radiologi,RF Sistografi kontras suprapubik,Permintaan & Hasil,37569-1,RF Urinary bladder Views W contrast via suprapubic tube,Views^W contrast via suprapubic tube,Find,Pt,Pelvis>Urinary bladder,Doc,RF,,http://loinc.org,,,
473,Radiologi,RF Sonde uterus,Permintaan & Hasil,25022-5,RF Uterus and Fallopian tubes Views W contrast IU,Views^W contrast IU,Find,Pt,Pelvis>Uterus+Fallopian tubes,Doc,RF,,http://loinc.org,,,
474,Radiologi,RF studi kista renal,Permintaan & Hasil,65799-9,RF Kidney - bilateral Single view for cyst,View for cyst,Find,Pt,Abdomen>Kidney.bilateral,Doc,RF,,http://loinc.org,,,
475,Radiologi,RF traktus sinus,Permintaan & Hasil,24912-8,RF Sinus tract Views W contrast intra sinus tract,Views^W contrast intra sinus tract,Find,Pt,XXX>Sinus tract,Doc,RF,,http://loinc.org,,,
476,Radiologi,RF Urethrografi,Permintaan & Hasil,25016-7,RF Urethra Views W contrast intra urethra,Views^W contrast intra urethra,Find,Pt,Pelvis>Urethra,Doc,RF,,http://loinc.org,,,
477,Radiologi,RF Uretrosistografi retrograd,Permintaan & Hasil,25020-9,RF Urinary bladder and Urethra Views W contrast retrograde via urethra,Views^W contrast retrograde via urethra,Find,Pt,Pelvis>Urinary bladder+Urethra,Doc,RF,,http://loinc.org,,,
478,Radiologi,RF usus halus melalui tabung enteroklisis,Permintaan & Hasil,24923-5,RF Small bowel Views W positive contrast via enteroclysis tube,Views^W positive contrast via enteroclysis tube,Find,Pt,Abdomen>Small bowel,Doc,RF,,http://loinc.org,,,
479,Radiologi,RF Vaginogram,Permintaan & Hasil,75853-2,RF Vagina Views W contrast VG,Views^W contrast VG,Find,Pt,Pelvis>Vagina,Doc,RF,,http://loinc.org,,,
